cell,celltype_final,soma_x_um,soma_y_um,soma_z_um
720575940572122527,GluMI,663.882,567.235,33.2812
720575940552332286,GluMI,728.848,623.689,33.9615
720575940568760607,GluMI,651.72,578.83,33.8199
720575940555941442,GluMI,696.624,530.904,31.5699
720575940569997970,GluMI,761.194,578.321,35.8949
720575940550983063,GluMI,658.593,627.099,32.6318
720575940556602317,GluMI,669.775,613.809,35.0149
720575940553631027,GluMI,707.938,544.587,30.383
720575940569219617,GluMI,715.115,583.107,34.9387
720575940574397654,GluMI,708.636,641.496,33.1254
720575940549544148,GluMI,674.859,597.974,35.0765
720575940556167639,GluMI,728.442,580.559,35.7305
720575940568993960,GluMI,729.182,602.144,29.7047
720575940577852882,GluMI,678.801,660.999,31.2248
720575940549176776,GluMI,680.28,606.031,33.4426
720575940573799071,GluMI,694.374,649.647,34.3905
720575940559490756,GluMI,624.099,611.924,34.3025
720575940565681922,GluMI,680.366,575.507,33.1523
720575940577738025,GluMI,731.541,616.948,33.7622
720575940577719144,GluMI,726.207,566.306,30.6978
720575940564691700,GluMI,653.195,552.309,30.7186
720575940571967692,GluMI,694.703,617.058,31.7652
720575940563744593,GluMI,667.191,584.168,34.0688
720575940574937247,GluMI,707.664,668.992,36.5262
720575940552031603,GluMI,637.356,621.862,27.5585
720575940577397036,GluMI,704.975,603.134,32.7586
720575940546413196,GluMI,713.186,615.737,32.5378
720575940569769761,RBC,688.864,587.166,35.6104
720575940569780257,RBC,693.403,563.263,30.9055
720575940556472535,RBC,698.019,571.847,31.979
720575940569780001,RBC,691.668,561.809,31.064
720575940569779233,RBC,698.429,548.25,31.4251
720575940556203518,RBC,710.941,614.69,32.4118
720575940556057815,RBC,672.268,589.683,34.0833
720575940556020183,RBC,683.498,539.706,30.4027
720575940570305057,RBC,694.028,616.909,31.7804
720575940570045217,RBC,678.988,579.061,33.875
720575940572068865,RBC,681.653,590.953,34.9455
720575940571949471,RBC,667.648,555.01,29.7015
720575940554999294,RBC,686.382,589.317,35.5441
720575940571533983,RBC,658.533,541.687,29.9907
720575940570372897,RBC,696.802,626.831,33.3485
720575940570358305,RBC,697.915,609.603,32.0423
720575940555236055,RBC,672.57,551.773,29.3493
720575940555237079,RBC,676.019,573.785,33.751
720575940570327841,RBC,691.301,603.679,33.6986
720575940570327585,RBC,684.269,617.253,34.1498
720575940555250903,RBC,686.19,569.313,31.746
720575940570321697,RBC,708.272,621.7,32.8496
720575940555375063,RBC,693.277,590.429,35.824
720575940570315809,RBC,727.624,628.605,34.0599
720575940570299445,RBC,665.726,607.93,36.8363
720575940556018391,RBC,677.825,559.589,30.8062
720575940569750561,RBC,667.469,567.045,32.8517
720575940587576061,RBC,683.611,540.406,30.1809
720575940569369121,RBC,664.307,545.39,29.3581
720575940557638962,RBC,697.964,677.568,36.2595
720575940567828897,RBC,702.092,679.749,37.4516
720575940558220168,RBC,651.884,579.338,35.3907
720575940558603400,RBC,639.779,596.951,36.5569
720575940558644066,RBC,649.988,559.95,31.4375
720575940558711688,RBC,626.637,582.624,35.2805
720575940566652937,RBC,659.325,547.676,29.3275
720575940566524701,RBC,624.398,587.672,33.9192
720575940565191588,RBC,688.944,610.461,32.3985
720575940560650587,RBC,693.526,541.999,29.7423
720575940564286140,RBC,705.217,553.243,31.2329
720575940561423300,RBC,654.431,588.979,35.3534
720575940561539524,RBC,632.096,612.611,36.6648
720575940586502909,RBC,672.073,527.213,31.4834
720575940561671620,RBC,632.536,598.885,36.442
720575940557579426,RBC,684.478,548.468,30.2192
720575940569371937,RBC,674.641,540.486,29.9818
720575940567927305,RBC,657.693,614.317,36.6077
720575940568113929,RBC,673.133,653.024,34.1852
720575940556762327,RBC,694.653,563.493,28.8216
720575940554549810,RBC,682.186,587.478,34.6154
720575940556897495,RBC,724.255,640.247,33.5702
720575940556900311,RBC,712.231,633.6,33.1652
720575940569216374,RBC,701.552,611.654,31.9548
720575940569085473,RBC,729.293,598.024,34.9875
720575940569065249,RBC,708.143,598.409,33.2368
720575940556994263,RBC,674.357,603.216,35.7088
720575940569047073,RBC,694.306,574.576,33.0418
720575940569043745,RBC,694.729,569.26,31.9392
720575940556998103,RBC,692.295,602.681,34.0249
720575940557058210,RBC,669.156,629.138,35.3767
720575940568681249,RBC,672.935,591.48,34.2857
720575940568623625,RBC,682.671,661.511,33.2475
720575940568145417,RBC,693.487,650.728,34.2964
720575940567973662,RBC,689.341,664.65,33.2686
720575940556819415,RBC,687.285,623.13,34.5234
720575940569873441,RBC,738.557,591.542,35.4745
720575940577893694,RBC,647.386,611.554,36.8852
720575940553651198,RBC,734.503,610.017,34.1462
720575940554483198,RBC,684.27,567.131,31.8555
720575940553875966,RBC,692.327,553.47,30.9808
720575940549871511,RBC,668.104,580.087,33.7284
720575940580656446,RBC,640.92,589.2,36.3785
720575940549920663,RBC,664.826,590.983,34.9513
720575940550401110,RBC,643.185,572.693,34.381
720575940573499387,RBC,674.556,514.896,31.335
720575940547308439,RBC,664.545,584.148,33.7259
720575940574810104,RBC,701.159,657.131,34.2855
720575940547307159,RBC,656.445,564.123,33.2811
720575940552238386,RBC,705.388,650.933,34.695
720575940553651454,RBC,749.796,609.639,33.4689
720575940552086578,RBC,706.355,553.983,32.2265
720575940552096050,RBC,709.355,555.677,32.6821
720575940553651966,RBC,741.936,605.661,34.5488
720575940577848786,RBC,672.891,551.201,29.3619
720575940572897439,RBC,659.53,601.126,36.4728
720575940554204414,RBC,685.39,550.721,30.3515
720575940551645335,RBC,664.204,590.893,34.9539
720575940551644823,RBC,660.838,571.897,34.126
720575940579649598,RBC,653.861,553.382,30.6805
720575940577863486,RBC,655.148,564.152,33.3017
720575940554458162,RBC,675.749,586.516,33.9261
720575940577868862,RBC,647.02,552.749,30.79
720575940554460466,RBC,680.739,579.642,34.0369
720575940551092194,XBC,767.422,581.893,35.2034
720575940558252359,XBC,733.448,578.807,35.4958
720575940567497291,XBC,707.647,597.846,33.4839
720575940552408771,XBC,652.498,613.712,35.2817
720575940556630575,XBC,646.606,571.661,34.6824
720575940580285365,XBC,727.239,607.548,33.3019
720575940556857063,XBC,677.834,651.204,34.2342
720575940552114994,XBC,763.222,596.04,33.6739
720575940556999158,XBC,682.501,625.133,36.1316
720575940568992424,XBC,662.716,599.309,36.3167
720575940550937952,XBC,750.238,576.193,36.1957
720575940558629730,XBC,609.098,613.773,32.9726
720575940548532887,XBC,679.808,579.2,33.9897
720575940563600183,XBC,689.915,587.516,35.5557
720575940573929545,XBC,696.668,556.254,31.5591
720575940559412275,t1,648.259,588.36,35.0212
720575940574544543,t1,661.729,588.766,34.8618
720575940561580484,t1,636.924,606.474,36.5577
720575940570358049,t1,671.777,603.466,35.9375
720575940561139377,t1,689.707,535.98,29.1932
720575940568211977,t1,700.835,652.418,34.5956
720575940556174295,t1,720.229,558.556,31.5916
720575940566356644,t1,675.642,515.126,31.311
720575940569775137,t1,676.771,563.717,31.9869
720575940556301930,t1,672.24,561.914,31.5478
720575940579746366,t1,616.069,597.573,33.684
720575940569774625,t1,676.158,577.256,33.7555
720575940561556676,t1,624.824,586.385,35.125
720575940575454077,t1,687.057,654.26,33.7682
720575940564026871,t1,745.405,566.013,34.294
720575940569304097,t1,714.355,553.558,32.676
720575940556811170,t1,756.589,591.82,33.5378
720575940564882913,t1,709.998,621.833,32.9261
720575940571589044,t1,651.987,579.574,34.6294
720575940565765129,t1,664.637,642.596,35.379
720575940563003415,t1,656.608,544.325,29.7656
720575940554549847,t1,618.629,627.47,35.4062
720575940552954674,t1,698.896,674.988,35.7202
720575940558842461,t1,631.961,569.938,33.8657
720575940566582892,t1,709.729,558.266,29.1138
720575940574543039,t1,737.138,586.416,35.0609
720575940554590462,t1,686.779,588.834,35.5381
720575940559491012,t1,636.365,587.128,36.5025
720575940556999145,t1,699.612,606.811,31.703
720575940569912097,t1,679.17,617.769,35.5708
720575940567161630,t1,766.402,581.211,35.5407
720575940558289032,t1,644.176,637.891,34.5996
720575940570352673,t1,743.602,587.611,34.5171
720575940559561802,t1,656.372,647.491,35.1916
720575940571828121,t1,685.33,533.307,30.3255
720575940550613307,t2,690.026,651.155,34.2557
720575940561570756,t2,646.713,554.277,30.0307
720575940563372345,t2,727.74,576.082,35.6885
720575940561594564,t2,643.794,622.388,34.9405
720575940561580228,t2,631.488,618.152,35.618
720575940561580740,t2,619.652,606.486,35.8351
720575940564337565,t2,695.386,570.76,31.6306
720575940568654881,t2,736.428,619.172,34.2253
720575940566467614,t2,751.139,597.133,33.5616
720575940548573335,t2,669.717,598.454,35.4993
720575940558814886,t2,689.309,562.921,30.938
720575940558772794,t2,684.981,600.673,34.6418
720575940581604990,t2,687.855,527.729,30.6151
720575940566704414,t2,685.194,615.99,33.8908
720575940566938398,t2,757.617,591.153,33.4908
720575940585366806,t2,712.172,656.655,35.5197
720575940557695463,t2,736.048,570.369,34.0946
720575940567926281,t2,657.034,630.028,27.3166
720575940561205276,t2,754.592,604.844,30.2699
720575940561498564,t2,642.524,611.754,36.6756
720575940557234850,t2,700.437,621.599,32.4964
720575940557223266,t2,656.337,626.337,35.5557
720575940568635425,t2,724.807,588.647,35.883
720575940568639265,t2,707.764,598.637,33.183
720575940557582498,t2,731.448,603.606,34.2157
720575940572666265,t2,703.303,524.237,30.9008
720575940550981271,t2,665.914,618.257,35.8975
720575940555740158,t2,684.466,632.352,36.009
720575940574543295,t2,706.302,589.12,34.4715
720575940553817342,t2,723.25,596.291,34.5731
720575940569828126,t2,667.84,580.797,33.5185
720575940555355902,t2,733.954,609.885,34.0668
720575940552834650,t2,725.307,586.478,35.8664
720575940570727340,t2,663.445,572.431,33.9319
720575940555410174,t2,696.653,627.66,33.5891
720575940552251921,t2,644.748,589.493,36.1184
720575940555461906,t2,657.652,647.191,33.0288
720575940571256350,t2,675.688,658.185,32.9276
720575940555133694,t2,724.961,563.955,33.4502
720575940570357793,t2,675.05,613.24,36.3302
720575940556194814,t2,740.112,580.787,36.099
720575940571753631,t2,659.773,553.968,30.2427
720575940571754655,t2,659.245,553.166,29.988
720575940556907223,t2,710.428,615.084,32.4389
720575940569930017,t2,673.178,645.335,34.9118
720575940577853394,t2,666.804,539.053,24.8943
720575940556251095,t2,685.603,596.043,35.1772
720575940577424217,t2,665.233,524.181,31.8005
720575940555932826,t2,696.864,557.164,31.6507
720575940569912353,t2,680.187,638.659,35.1683
720575940569586510,t2,761.861,586.518,33.3989
720575940554995182,t2,634.056,576.063,34.9393
720575940571801241,t2,672.05,527.853,31.3731
720575940569280363,t2,693.452,600.661,34.5914
720575940574535071,t3a,657.344,602.657,34.6359
720575940566704158,t3a,688.72,615.719,32.6194
720575940574308255,t3a,674.44,539.737,30.2132
720575940582552829,t3a,686.095,533.082,30.518
720575940570299425,t3a,692.381,618.064,31.7882
720575940578356740,t3a,676.759,630.486,35.2777
720575940566057481,t3a,662.07,613.061,36.4432
720575940583897390,t3a,693.614,658.917,31.1401
720575940565582557,t3a,751.327,573.55,35.6377
720575940555231703,t3a,685.816,551.306,30.3957
720575940561098332,t3a,732.011,596.484,35.4268
720575940570894361,t3a,658.912,647.727,35.2773
720575940555142142,t3a,679.595,578.294,33.9655
720575940585161427,t3a,715.308,552.122,29.6523
720575940571811225,t3a,673.92,540.422,30.0947
720575940573210144,t3a,632.073,597.831,36.436
720575940572655519,t3a,661.12,531.929,31.1903
720575940541656952,t3a,713.738,595.158,32.1713
720575940562947242,t3a,706.062,588.522,33.8238
720575940570355745,t3a,671.403,614.982,36.1582
720575940573588415,t3a,667.038,554.997,29.6928
720575940555473426,t3a,754.992,606.173,33.5086
720575940549702114,t3a,724.832,619.966,30.5236
720575940567874289,t3a,735.893,562.762,33.6593
720575940552314418,t3a,746.222,585.818,34.9716
720575940549156040,t3a,723.101,641.094,33.5567
720575940575556603,t3a,680.254,554.103,30.0944
720575940550573115,t3a,688.379,641.182,35.0749
720575940558226312,t3a,643.918,580.605,35.3943
720575940556084990,t3a,685.214,601.336,34.2403
720575940556999586,t3a,759.62,594.069,33.3921
720575940568325129,t3a,715.603,643.167,33.6436
720575940558283912,t3a,630.158,611.294,35.4377
720575940580646206,t3a,640.869,574.395,34.7357
720575940567416326,t3a,655.126,590.445,35.6994
720575940578780618,t3a,693.01,541.672,31.2942
720575940567343372,t3a,735.013,609.612,34.3845
720575940562476727,t3a,675.149,586.531,33.9905
720575940550572091,t3a,667.802,646.123,32.9106
720575940549502103,t3a,682.124,660.681,33.1788
720575940558273769,t3a,725.715,578.964,36.0091
720575940557305140,t3a,698.211,582.722,33.7203
720575940571716511,t3b,654.31,574.011,34.9224
720575940585969405,t3b,667.618,528.204,31.7943
720575940566746515,t3b,667.382,555.05,28.8227
720575940569773857,t3b,672.919,574.21,33.6924
720575940569599521,t3b,697.446,556.391,31.4983
720575940586082813,t3b,681.324,527.311,30.5212
720575940573297409,t3b,620.058,588.329,33.5419
720575940569248875,t3b,687.653,569.493,31.9375
720575940569247009,t3b,692.432,590.902,35.7813
720575940562592729,t3b,729.039,559.415,32.1998
720575940575071647,t3b,675.828,657.593,33.6297
720575940573349279,t3b,678.536,640.291,35.2422
720575940574567741,t3b,694.903,667.69,33.5422
720575940564535200,t3b,675.33,625.074,34.6396
720575940566862814,t3b,620.009,615.522,36.5558
720575940569861197,t3b,675.653,587.635,32.3215
720575940574511007,t3b,669.082,590.392,34.5039
720575940569860429,t3b,702.325,603.29,31.5916
720575940570336545,t3b,764.808,579.141,35.915
720575940566149025,t3b,667.127,565.839,32.6769
720575940574568765,t3b,703.089,646.199,34.6651
720575940566092663,t3b,644.899,579.215,32.783
720575940567869537,t3b,686.066,601.479,33.0229
720575940565550813,t3b,659.127,557.035,29.3255
720575940583933230,t3b,721.97,649.844,33.5854
720575940585144019,t3b,731.479,596.139,35.466
720575940569780769,t3b,683.651,540.056,30.4564
720575940570472225,t3b,742.107,561.768,32.7236
720575940567604914,t3b,652.331,627.076,32.7437
720575940562299371,t3b,712.738,595.958,32.6141
720575940563512134,t3b,709.325,643.797,34.1028
720575940561995693,t3b,724.448,620.897,33.479
720575940550950496,t3b,658.89,553.115,29.4937
720575940559536477,t3b,713.154,571.977,32.5424
720575940552228146,t3b,719.746,616.247,32.8774
720575940558832216,t3b,742.586,605.764,34.5142
720575940558641506,t3b,737.748,577.682,34.3501
720575940554126846,t3b,679.095,601.732,34.8635
720575940558306696,t3b,635.155,622.009,35.9698
720575940554553394,t3b,701.45,583.503,34.3187
720575940557995011,t3b,710.539,578.152,33.7673
